ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2356290,18203805,Ernst zu Sachsen-Altenburg,"Ernst I. (1853-1908), Herzog zu Sachsen-Altenburg",MKMedaillen19Jhnach18301830bis1900,"Silber, vergoldet, geprägt",Numismatik,1871
2356293,18203808,Hannover: Ernst August,"Ernst August (1837-1851), König von Hannover",MKMedaillen19Jhnach18301830bis1900,"Gold, geprägt",Numismatik,um 1850
2357549,18205201,"Lechevrel, Alphonse Eugène: Hommage an die Medailleure der Gegenwart",,MKMedaillen19Jhnach18301830bis1900,"Bronze, geprägt",Numismatik,1899
2357762,18205449,"Posch, Leonhard: Selbstbildnis",,MKMedaillen19Jhnach18301830bis1900,"Gips, gegossen",Numismatik,um 1815
2357774,18205463,"Posch, Leonhard: Selbstbildnis",,MKMedaillen19Jhnach18301830bis1900,"Zinn, gegossen",Numismatik,um 1815
2357808,18205497,"Hildebrand, Adolf von: Wilhelm von Bode",,MKMedaillen19Jhnach18301830bis1900,"Silber, geprägt",Numismatik,1897
2357891,18205579,"Vernon, Frederic-Charles: Zeichenkunst",,MKMedaillen19Jhnach18301830bis1900,"Bronze, gegossen",Numismatik,1892-1894
2357892,18205580,"Chaplain, Jules-Clement: Elie Delauney",,MKMedaillen19Jhnach18301830bis1900,"Bronze, gegossen",Numismatik,1890
2357893,18205581,"Lechevrel, Alphonse Eugène: Roger Marx",,MKMedaillen19Jhnach18301830bis1900,"Bronze, geprägt",Numismatik,1892
2357895,18205583,"Roche, Pierre: Loie Fuller",,MKMedaillen19Jhnach18301830bis1900,"Bronze, geprägt",Numismatik,1900
2357896,18205584,"Charpentier, Alexandre: Gesellschaft der Freunde der französischen Medaille",,MKMedaillen19Jhnach18301830bis1900,"Bronze, gegossen",Numismatik,1899
2357897,18205585,"Deloye, Jean Baptiste Gustave: Diana",,MKMedaillen19Jhnach18301830bis1900,"Bronze, gegossen",Numismatik,um 1890
2357898,18205586,"Roty, Oscar: Sadi Carnot",,MKMedaillen19Jhnach18301830bis1900,"Bronze, geprägt",Numismatik,1894
2357899,18205587,"Roty, Oscar: Dame bei Toilette",,MKMedaillen19Jhnach18301830bis1900,"Bronze, geprägt",Numismatik,1879
2357900,18205588,"Pawlik, Franz Xaver: Auf das neue Jahrhundert",,MKMedaillen19Jhnach18301830bis1900,"Silber, geprägt",Numismatik,1899
2357901,18205589,"Scharff, Anton: Wolfgang Amadeus Mozart",,MKMedaillen19Jhnach18301830bis1900,"Silber, geprägt",Numismatik,1896
2357902,18205590,"Scharff, Anton und Karl Waschmann: Rudolf Virchow",,MKMedaillen19Jhnach18301830bis1900,"Bronze, gegossen",Numismatik,1891
2357906,18205594,"Vogel, August: 200 Jahre Akademie der Wissenschaften",,MKMedaillen19Jhnach18301830bis1900,"Silber, gegossen",Numismatik,1900
2357917,18205605,"Lechevrel, Alphonse Eugène: Alfred Lichtwark",,MKMedaillen19Jhnach18301830bis1900,"Bronze, gegossen",Numismatik,1892
2359222,18207026,"Mertens, August: Preismedaille 1876",,MKMedaillen19Jhnach18301830bis1900,"Silber, 12, geprägt",Numismatik,1876
2359542,18207472,"Brakenhausen, Ferdinand von: Ferdinand Bellermann",,MKMedaillen19Jhnach18301830bis1900,"Blei, gegossen",Numismatik,1883
2363775,18215698,"Eberlein, Gustav: Adolph von Menzel",,MKMedaillen19Jhnach18301830bis1900,"Bronze, 12, gegossen",Numismatik,1885
2363776,18215699,"Hildebrand, Adolf von: Otto von Bismarck",,MKMedaillen19Jhnach18301830bis1900,"Silber, gegossen",Numismatik,1895
2363777,18215700,"Schaper, Fritz und Johann von Langa: Otto von Bismarck",,MKMedaillen19Jhnach18301830bis1900,"Silber, 12, geprägt",Numismatik,1895
2365576,18218847,"Begas, Reinhold: Theodor Mommsen",,MKMedaillen19Jhnach18301830bis1900,"Bronze, gegossen",Numismatik,1877
2365577,18218848,"Begas, Reinhold: August Boeckh",,MKMedaillen19Jhnach18301830bis1900,"Bronze, gegossen",Numismatik,um 1867
2387042,18218855,"Begas, Werner: Reinhold Begas",,MKMedaillen19Jhnach18301830bis1900,"Silber, 12, geprägt",Numismatik,1897
2387043,18218856,"Begas, Werner: Reinhold Begas",,MKMedaillen19Jhnach18301830bis1900,"Bronze, gegossen",Numismatik,1897
2365621,18218934,"Telge, Paul: Karl I. und Elisabeth von Rumänien",,MKMedaillen19Jhnach18301830bis1900,"Bronze, 12, geprägt",Numismatik,1891
2365889,18219282,"Held, Ludwig: Georg Wilhelm Friedrich Hegel",,MKMedaillen19Jhnach18301830bis1900,"Silber, 12, geprägt",Numismatik,1830
2365891,18219284,"Pfeuffer, Christoph Carl: Friedrich Wilhelm Joseph von Schelling",,MKMedaillen19Jhnach18301830bis1900,"Silber, 12, geprägt",Numismatik,1842
2365894,18219287,"König, Anton Friedrich: Karl Asmund Rudolphi",,MKMedaillen19Jhnach18301830bis1900,"Silber, 12, geprägt",Numismatik,1832
2368169,18225147,"Griliches, Arenin: Anton Rubinstein",,MKMedaillen19Jhnach18301830bis1900,"Silber, 12, geprägt",Numismatik,1894
2368170,18225148,Erzbischof Anton Fijalkowski,,MKMedaillen19Jhnach18301830bis1900,"Zinn, 12, geprägt",Numismatik,1861
2368224,18225309,"Boehm, J. Edgar: Charles Richard Fox",,MKMedaillen19Jhnach18301830bis1900,"Bronze, 12, geprägt",Numismatik,1862
2368591,18226010,"Kullrich, Wilhelm: August Borsig",,MKMedaillen19Jhnach18301830bis1900,"Silber, 12, geprägt",Numismatik,1854
2368592,18226011,"Kullrich, Wilhelm: August Borsig",,MKMedaillen19Jhnach18301830bis1900,"Bronze, 12, geprägt",Numismatik,1854
2369885,18227699,"Scharff, Anton: Theodor von Sickel",,MKMedaillen19Jhnach18301830bis1900,"Bronze, 12, geprägt",Numismatik,1887
2374096,18234910,"Brakenhausen, Ferdinand von: Hermann Dannenberg",,MKMedaillen19Jhnach18301830bis1900,"Silber, 12, geprägt",Numismatik,1893
2377263,18242679,"Brakenhausen, Ferdinand von: Hermann und Marie Dannenberg",,MKMedaillen19Jhnach18301830bis1900,"Bronze, gegossen",Numismatik,1893
2453702,18245124,"Dubois, Eugène: Notre-Dame de Paris",,MKMedaillen19Jhnach18301830bis1900,"Bronze, 12, geprägt",Numismatik,1852
2379788,18248021,"Jahn, F. O.: Geflügelausstellung Bautzen 2. Preis",,MKMedaillen19Jhnach18301830bis1900,"Bronze, geprägt",Numismatik,1879
2380569,18250051,"Wyon, William und Leonard Charles: Preismedaille",,MKMedaillen19Jhnach18301830bis1900,"Bronze, 12, geprägt",Numismatik,1851
2382957,18253605,"Mayer, Matthäus: Preismedaille der Peter Wilhelm-Mueller-Stiftung",,MKMedaillen19Jhnach18301830bis1900,"Gold, geprägt",Numismatik,1895
2383992,18255567,"Lange, Konrad: Anton von Prokesch-Osten",,MKMedaillen19Jhnach18301830bis1900,"Bronze, geprägt",Numismatik,1846
2383993,18255568,"Janda, Johannes: Benoni Friedlaender",,MKMedaillen19Jhnach18301830bis1900,"Bronze, gegossen",Numismatik,1851
2383994,18255570,"Barduleck, Max: Julius Friedlaender",,MKMedaillen19Jhnach18301830bis1900,"Bronze, geprägt",Numismatik,1891
2384344,18256991,"Wyon, Leonard Charles: Colonial and Indian Exhibition",,MKMedaillen19Jhnach18301830bis1900,"Bronze, 12, geprägt",Numismatik,1886
2388589,18258627,Napoleon III. - Finis Germaniae,,MKMedaillen19Jhnach18301830bis1900,"Silber, 6, geprägt",Numismatik,1870 (und später)
2384955,18259254,"Bowcher, Frank: 60. Thronjubiläum Victoria von Großbritannien",,MKMedaillen19Jhnach18301830bis1900,"Bronze, 12, geprägt",Numismatik,1897
2432797,18265401,"Kullrich, Friedrich Wilhelm: Friedrich Wilhelm von Radziwill",,MKMedaillen19Jhnach18301830bis1900,"Silber, 12, geprägt",Numismatik,1870
2449554,18266237,"Alsing, Hans Friedrich: 300 Jahrfeier der Meldorfer Gelehrtenschule",,MKMedaillen19Jhnach18301830bis1900,"Bronze, 12, geprägt",Numismatik,1840
2449555,18266238,"Alsing, Hans Friedrich: 300 Jahrfeier der Meldorfer Gelehrtenschule",,MKMedaillen19Jhnach18301830bis1900,"Silber, 12, geprägt",Numismatik,1990 (1840)
2558979,18270129,"Kullrich, Wilhelm: Feier der Handelsfreiheit der Stadt Hamburg",,MKMedaillen19Jhnach18301830bis1900,"Bronze, 12, geprägt",Numismatik,1868
2558980,18270131,"Kullrich, Wilhelm: Feier der Handelsfreiheit der Stadt Hamburg",,MKMedaillen19Jhnach18301830bis1900,"Bronze, 12, geprägt",Numismatik,1868
2589891,18274674,"Pawlik, Franz Xaver: 500 Jahre Akten der Medizinischen Fakultät Wien",,MKMedaillen19Jhnach18301830bis1900,"Silber, 12, geprägt",Numismatik,1899
